QUESTION,ANSWER
Where does the prime minister of the UK live?,10 Downing Street
Name a wizard in The Lord of the Rings?,Gandalf
Who is the prime ministor of the Netherlands?,Mark Rutte
How many bits are in a byte?,Eight
What is the full name of DNA?,Deoxyribonucleic acid
What is the heavy breathing character of the original Star Wars trilogy?,Darth Vader
Who is the co-pilot of the Millennium Falcon?,Chewbacca
How many people live in the Netherlands?,About 16.8 million
What are the colours of the Dutch flag?,Red white and blue.
What city is the capital of the Neterlands?,Amsterdam
What countries does the Netherlands have as neighbors?,Belgium and Germany
What city used to be called New Amsterdam?,New York City
Can you name an animal that is a bird but can't fly?,Penguins
What does ROM stand for in computing?,Read-Only Memory
What is DVD an abbreviation of?,Digital Versatile Disc or Digital Video Disc
Who is the original creator of Linux?,Linus Torvalds
Which German Count invented the zeppelin?,Count von Zeppelin
Who was the first president of the USA?,George Washington
In ancient China what meat was reserved for the Emperor?,Pork
In which city was the Titanic built?,Belfast
How many children did Queen Victoria have?,Nine children
Which French king was called the Sun King?,Louis XIV
What was in England the northern frontier of the Roman Empire?,Hadrians wall
In which 1979 film was the spaceship called Nostromo?,Alien
Who was the first king of Belgium ?,Leopold I
What was the former name of New York?,New Amsterdam
What was the Latin name of Paris in Roman times?,Lutetia
Which city was the capital of Australia from 1901 to 1927?,Melbourne
Give another name for the study of fossils?,Paleontology
What do dragonflies prefer to eat?,Mosquitoes
"Which insects cannot fly, but can jump higher than 30 centimeters?",Fleas
What is the name of the European Bison?,Wisent
What is called a fish with a snake-like body?,Eel fish
Which plant does the Canadian flag contain?,Maple
Which is the largest species of the tiger?,Siberian tiger
Which malformation did Marilyn Monroe have when she was born?,Six toes
What is the house number of the Simpsons?,Number 742
What dog in ancient China was restricted to the aristocracy?,Pekinese
Who is the director of Reservoir Dogs?,Quentin Tarantino
What number is on Herbie the beatle?,Fifty-three
Give the name of the best James Bond parody?,Austin Powers
What is the name of the bald commander of the Enterprise in Star Trek?,Captain Picard
Who was the leading actress in Sister act 1 en 2 ?,Whoopi Goldberg
What is the country top-level domain of Belgium?,The .be domain
Which unit is an indication for the sound quality of MP3?,Kbps
In computing what is Ram short for?,Random Access Memory
Who was the first man to fly around the earth with a spaceship?,Yuri Gagarin
On which hemisphere were the most dinosaur skeletons found?,The northern hemisphere
What color is cobalt?,Blue
Who invented vulcanized rubber?,Goodyear
Which device do we use to look at the stars?,Telescope
Which unit indicates the light intensity?,Candela
Who invented the barometer?,Torricelli
Who was the first American in space?,Alan Shepard
Two brothers invented the hot air balloon. What was their surname?,Montgolfier
Who was the inventor of the steam engine?,James Watt
Which device was invented by Henry Mill?,The typewriter
What is the lightest existing metal?,Aluminium
What are the three primary colors?,"Blue, yellow and red"
Which planet is nearest the sun?,Mercury
How long is the Great Wall of China?,6259 kilometers
What is the largest number of five digits?,99999
What is the most fractured human bone?,Clavicle
Which South American country is named after Venice?,Venezuela
How many stars feature on the flag of New Zealand?,Four stars
What colour to do you get when you mix red and white?,Pink
What city are we in?,Magdeburg
Name the big hairy creature in Star Wars.,Chewbacca
Who wrote the three laws of robotics?,Isaac Asimov
From what series do you know Rosie the robot?,The Jetsons
From what series do you know the baby Bam Bam?,The Flintstones
Who is the main character of The Matrix?,Neo
Name the two RoboCup@Home standard platforms.,Pepper and HSR
